Class,Negative.Reviews,Rating
0,it's good but think its a bit expensive for just one they should give you two for that price or lower the price,2
0,"Doe's not stay on to well, moves to much even if you go for the pick lightly could be redeisigned.",3
0,"After buying this product, I have concluded that $8.00 is a lot of money for foam! Does the job, but I think the velcro job would be preferable to this one.",3
0,"This is a fine guitar, but it isn't amazing.  My particular instrument has some issues with the finish in a couple of places around the perimeter of the guitar - they look like black splotches underneath the sunburst paint and clear-coat.  There's one near the top strap post and another near the place where the pick-guard mounts to the underside of the body.  Neither would be apparent to someone who wasn't appraising the guitar, but they are there and don't look normal to me.  Maybe I got the first one off the line after they switched from black-painted models?  My guitar also has a weird V shape on the back of the neck where the wood grain doesn't match at all - I'm guessing that it's a joint that has been glued together.  I know that the better Les Paul guitars have a one-piece neck, and since I didn't read about this one having something different, I assumed it would be the same.  Glue is stronger than wood and Les Paul guitars have a tendency to break in that area, so I guess my guitar should be more durable than some. Still, it was a disappointing and unexpected discovery.  I'm not sure that seeing these finish issues before-hand would've dissuaded me from buying the same guitar, but upon reflection it would've been much smarter to visit a music store and examine the guitar before buying.My remaining issues with the instrument have more to do with the general design of all Les Paul guitars versus my particular instrument.  The guitar is too small for me to comfortably play it without a strap, even while sitting.  The top strap peg is angled up slightly, where guitars with horns have them angled down, which means that investing in the install of a straplock system of some kind is a good idea with a Les Paul - the pegs just don't stay in the strap holes as well as on some other guitars.  It's great that this guitar has all the knobs and switches that &#34;real&#34; Les Paul guitars do, but from a practical standpoint it is rather cumbersome to have separate volume and tone knobs for each pickup.  The range of adjustment on the saddles is pretty small, and I found it impossible to setup the guitar for coated .09 strings without additional hardware.The guitar sounds decent, it looks pretty great (although not quite as pretty as the pictured one), and due to its shorter scale length it is a tad easier to play than some other guitars.  Note: the shorter scale length is characteristic of Les Paul guitars, it doesn't indicate that this is less than a &#34;full-sized&#34; guitar.  Though this is a fine guitar for the price, I'm not sure that I would make the same choice if I were in the same position again.",3
0,Good overall but pick ups are terrible - Might be better replacing the pickups but I wasn't willing to spend the extra money,3
0,"I got this pretty fast. I took it out of the box and wanted nothing more than to give it 5 stars just for value alone. I'm still shaking my head in disbelief that I got this guitar for the price. First, the 'tuner' issues that I've been reading about. Replace the strings! I stretched and stretched these things and they would not stay in tune. A set of D'Addario 10's cured that straight away (or whatever you prefer just change them). The tuners aren't the best but they are not to blame, it's the cheap strings. Now, technically if you only play open chords this was playable out of the box. The neck angle was so off the A string rattled no matter how high I set the bridge. The guitar would not intonate due to the ridiculous angle. Yes I could have sent it back but I suspect I would have gotten another just like it. I had to spend about 6 hours shimming the neck AND the nut (Never had to do this to the nut on an electric, not even on a used guitar. The nut slot was cut too deep), as well as working on leveling nearly every fret to make it playable. It required 3 business cards to shim the neck which is the most I've ever had to use. After I got that straight I removed a bit of paint from the neck and set it with wood glue in the pocket and on all the screws. In my opinion this helps a great deal with these and all bolt ons for that matter.If I bought this used none of this would have been a big deal. But as I'm looking at this horrid neck angle and doing all this work I'm steadily staring at the 'QC passed' sticker. Must have been built on a Friday afternoon or something.--- NOW--after I did this it is sweet!!. I play through a Peavey Valveking 100 and it rocks as good as my Strat w/  Duncans and Dimarzios. The quality of the electronics is not sub par at all. After adjusting the pickups screws to match the string height and getting all the horrible wax off them,  I'd argue that this is as good as any Epi I've ever played as far as pups and all, so don't hesitate there because I don't really care for Epis and I'm in love with it. (I bought this to sell mainly, but now????)  The build quality; hmm, if you can do guitar work go for it. Otherwise I'd highly recommend a more expensive model. The $299 models are great right out of the box usually.",3
0,"I got one of these a while back and being like I am with guitars took it apart to see just what it's made of.Mahogany ply maybe or capped with real, but it's plywood body inside.Kinda shocked in competitive guitar market that epi would go there...Otherwise decent build, basic original lp design bolt on, surprisingly good electronics w/ full size pots and open back 3 way toggle, good neck but bad tuners.... Note: any 45% mount tuners, meaning mount hole at 8 and 4 o'clock position respectively... Will fit with the bottom hole of the 2 screw junk tuners mine had.  So add 10$ to get more than 30 minute in tune play here.And you can fill the other little holes with nail polish like it was made right to begin with.I like the style, and though there's plywood involved still good fit and finish, though many disagree it makes no real difference what electric guitar body woods are, only in looks.  Electric guitars don't resonate, that's why pickups are important.I don't like the idea of this as beginners choice for the simple fact of cheap tuning keys.You lose interest learning on something that can't hold good tuning.  So that bugs me that big player choice like epi would do that.It's likely they'll keep this style but revise it some... to be hardwood body and real tuners as I  think the price point demands it.  Otherwise a decent piece good wiring, decent pickups... But...",3
0,"The Epiphone Les Paul guitars don't particularly sound that great, but they stay in tune much better than the cheap squier strat you can get at the same or lower price. If your kid is serious about wanting to play guitar, but you're not completely sure if they will stick with it, if you can spend another $100 and get a used mexican made fender strat or tele. The reason for this is because for 1, if they decide it's not something they want to do anymore, you can resell it at the same price you bought it for (as long as it is still in decent condition) and little no money is lost. Second, if they do decide to stick with playing guitar and eventually own a &#34;better&#34; or more high end guitar, Mexican made teles or strats are great back up guitars for stage use. I have a couple different high end guitars and I will not get rid of my Mexy Strat because it sounds great still. I'll never pick up my first guitar which is essentially this.",2
0,"Update: The right angle switched end started developing crackling issues and is now intermittently cutting out. I've had it just over a month, so Amazon won't help me. Despite the lifetime warranty, Amazon has only offered to let me pay shipping and to give me a partial refund. Despite being an ""authorized retailer"" for Planet Waves, AMAZON DOES NOT OFFER EXCHANGE UNDER THE PLANET WAVES WARRANTY beyond the standard Amazon 30 day return policy. Amazon support referred me to the manufacturer. I've emailed Planet Waves, but the instructions for the warranty are to return it to a dealer for exchange. I don't have a dealer within 100 miles of my home, so unless the manufacturer comes through, this one is quickly becoming unusable and it looks like it might cost me to resolve it.I frequently switch instruments and this makes it easy to do quietly. I've used cables with the G&H; quiet plug (which also works well), but the switched connector on this has an advantage over the G&H-; you can use it as a mute and tune with a head stock tuner without unplugging your instrument. The cable itself is a bit stiffer than I'm used to, which makes coiling for storage very easy, but it can quickly become a twisted mess on stage if you more length than you really need. The little elastic cord keeper strap works better than I could ever have imagined. I've never given the sound of a cable a thought, being a bass player who doesn't use much for effects and who plays mostly passive instruments. But using this with my Genz Benz Shuttlemax 9.2 and fEARful 15/6/1 cab, I really notice a pronounced difference in clarity and dynamics. The sound is much more alive with this over any of the other cables I have from a variety of manufacturers (Hosa, Proco, Whirlwind, etc). I've never had to warranty exchange a PW cable, but others tout the easy swap at any PW dealer as a great reason to buy them. I like knowing that. ** EDIT: AS STATED ABOVE, YOU WILL NOT BE ABLE TO EXCHANGE IT THROUGH AMAZON BEYOND 30 DAYS **",3
0,A long time Planet Waves user I trusted that the circuit breaker cable would be up to their usual high standards... IMHO it is not.The plugs are great but do not seem to have good cable grip. I like their old cables that had a long cable protector extending from the plug allowing the cable to flow gracefully from the guitar (and into the amp at the other end). The actual cable is horrible.... it is a hard plastic outer shell and does not lie or flex well like a good cable should (e.g. like my old Planet Waves cables do). They claim that the shielding is excellent but I find it to be mediocre. Very disappointing purchase.,3
0,"This is a cheap piece of junk that does what it says, it distorts, You want something to make your guitar sound like junk, this will do it. Why pedals that make your guitar sound like a piece of junk are the most popular is beyond me. This is not a boutique Distortion pedal like Hendrix would use. Boutique and distortion are an oxymoron.These things are built with heavy metal, it should last, I kinda hope it doesn't(just kidding), you want distortion, you got distortion",1
0,"From Greg Abrams review, entitled ""For all but the tone snobs,"" a review further down on this product's page:""Alright, so you want to get a good (if somewhat ""basic"") distortion sound for less than $100? This is your deal.""I strongly disagree.  You can find MUCH BETTER distortions for $100 or less, even a few near or under the $40 mark the DS-1 is currently priced at.I've played guitar for over 10 years.  Like many people one of my first pedal purchases was the DS-1.  Afterall, everyone talks about them, they're available at any given music store in the nation, you hear about all these famous musicians using them, plus a DS-1 is actually pretty cheap!  So I snapped one up just like everyone else.  Come to find out that just because something is POPULAR, that doesn't always mean its GOOD (see: Nickelback, the Transformers movie franchise, the Kardashian family, etc...).So I plugged it in and didn't really care for it.  The distortion was harsh, thin, artificial sounding and always noisy.  I tried it on both my amps (My practic amp: a solid state Fender Frontman 25R, and my big amp, the B-52 AT100, which is a 100w tube halfstack) It was was not very diverse, and the basic sound was not very likeable to me.  I've read the Japanese made DS-1's are better in sound than the newer, made in Taiwan models but, either way, the DS-1 is just not a great pedal in my mind.But, like many newer players, I didn't know any better at the time.  Fast forward a few years and I've bought and sold literally dozens of pedals.  There is a whole world of great tones to be found out there if you keep your eyes open.So here are some pedals I currently own that I like much better than the DS-1.  All of them are great general purpose distortions, easy enough to find new and used in most guitar shops, and can, at the time of this writing, be bought brand new for $75 or less here on good ol' Amazon.com, and are rugged enough to last for years:Boss DS-2 Turbo Distortion:  Lest I catch any flames from people thinking I'm a Boss hater (I'm certainly not, I loved the TU-3, the ODB-3, the MD-2, and the XT-2, among others) I'll start with the DS-1's big brother.  This pedal has a much nicer tone to it, not to mention 2 distinct distortion modes.  The I setting is pretty much a higher quality DS-1, the II setting is a brighter, richer tone.  As the DS-1 completely overshadows the DS-2 in popularity, you can find DS-2's all over ebay for very cheap prices.  A very worthy pedal, unfortunately overlooked by many.Pro Co RAT2:  Great dirty distortion pedal.  Probably my personal favorite.  You've heard this box used on literally hundreds if not thousands of songs in the last 30 years, its used by just a ridiculous amount of guitarists.  Its a rich, full distortion that at higher gains gets slightly fuzzy.  I've never heard a bad tone out of mine. Its great for getting a ""big amp"" kind of sound out of a small practice amp.  Its also great for pushing a big amp with too much headroom into the overdriven sweet spot without having to crank the amp volume.  A truly excellent pedal.EHX Little Big Muff:  The Big Muff is another pedal you've heard on hundreds of songs.  Its kind of a fuzz, kind of a distortion, but definitely owns its own sonic territory.  Very big, saturated and warm.  Used heavily in the 70's for classic rock tones, also in the 90's and beyond for tons of grunge and garage.  Used by everyone from Carlos Santana and David Gilmour to the Smashing Pumpkins, Dinosaur Jr. and Jack White.  I personally reccomend the Little Big Muff, not only is it a touch creamier in tone than the recent NYC reissue, its smaller, uses a regular 9v adapter and its CHEAPER!  A great pedal.MXR Distortion +:  The Distortion + is a great first distortion, and can usually be found pretty cheap.  Whats nice about the Distortion + is that it sounds great on anything, and the lack of a tone knob helps keep it somewhat transparent, i.e. you can more easily hear the natural tone of your guitar and amp, it doesn't cover over your equipments sound.  Used by quite a few famous folks, including the Greatful Deads Jerry Garcia, Randy Rhoads (Ozzy's famous guitarist) and Steve Jones of the Sex Pistols.Danelectro CM-1 Cool Cat Metal:  Make sure you get the Cool Cat Metal, NOT the Metal II.  That's a fine pedal as well, but its definitely more of a traditional metal pedal.  The Cool Cat Metal, or CM-1, is actually a very very different pedal from most metal pedals.  Basically, its a pre-amp that sits on the floor.  It has a fully adjustable EQ with tons of volume and gain through the roof.  So you can do anything from a clean boost (with the gain at minimum there is virtually NO coloration to your tone) to high gain metal stuff, with plenty of great overdrive and rock tones in between.  It works well with any amp I've tried it on, and you can find tons of great sounds.  Its an unbelievably versatile pedal, and its even true bypass.  The best part is, Danelectro seems to have made way too many of them, so you can easily find one used or even new for under $30.  A true hidden gem that's actually CHEAPER than a DS-1.Joyo JF-03 Crunch Distortion:  This little guy surprised me.  Its supposedly a clone of the MI Audio Crunch Box, and, if so, that must be one awesome pedal too.  Its essentially a Marshall stack in a box, and boy does it ever succeed at that.  Great crunch, tons of volume and gain, it really can make your practice amp sound like a big ragin' stack!  It even sounded good going into my modeling amp (very few pedals work well with my modeling amp, and this one even sounded better than the Marshall simualtion built in), and you can get a brand new one for $40 shipped, fantastic!Speaking of Joyo, I've had a few of their pedals as well as one or two from MOEN, another Chinese pedal maker, and I'm honestly floored by how nice they sound given their shockingly low price tag (especially theMOEN MO-FM Fuzz Moowhich honestly out Big Muffs every Big Muff I've ever played through).  So JOYO and MOEN, they both make a variety of great sounding fuzz, od, and dirt pedals, check them out (and before anyone gets all up in arms about supporting a Chinese company, please keep in mind that NONE of the pedals listed in my review, DS-1 included, are made in America, let alone the western hemisphere).Hopefully these suggestions give you something to look for.  Also, if you can't actually try a pedal out at the store, YouTube is great place to hear demos of what different pedals can do.I should also mention that if you try and love the DS-1 and it suits your needs, than more power to you.  Tone is subjective, every pedal sounds different running through different guitars and amps, and just because I may share different opinions on something that you love, that's okay.  My main reason for posting this lengthy review is to give newer players some information.  You have PLENTY of options for distortion pedals, the DS-1 is NOT the only thing out there that's affordable.  Find something you truly love and buy that.  If its the DS-1, one of the pedals I've mentioned here, or anything else, the important part is that it sounds right to YOU.",2
0,"Here's the deal with this pedal. It is inexpensive and you can get a better pedal with barely a bit more money and sometimes a little less money. In my opinion, for spending less than $100 for a distortion pedal, whether it is your first pedal or 700th pedal, a few more bucks will get you the MXR Badass distortion which has a much crisper tone to it.",1
0,"This pedal has been around for a long time, and though the overall quality has declined as Boss has cut corners to enable lower priced mass production of their pedals, the boss ds-1 remains the staple image of distortion stompbox's. The ds-1 is a no-frills tank of a pedal; it was designed to withstand a direct nuclear blast as well as Michael Moore stepping on it, so you know it can take any amount of punishment you might care to give it.This pedal doesn't replicate any type of amplifier-it's not a ""Marshall-in-a-box, or a mesa boogie, or a vox, or a Fender; from a tonal aspect it isn't complex or dynamic. It will add plenty of grind to your tone, and plenty of hum to go with it. If you're looking for your first distortion pedal to use with your 15-watt practice amp, look no further. If you have a decent tube amp, look elsewhere, because with this pedal, you get what you pay for, and it simply will not do a quality amp justice.Pros: Inexpensive, good build quality, distorts your signal.Cons: Lots of hum, the tone control gets really shrill really fast.Without the excessive hum and almost-unusable tone control, this would get 4 stars.",3
0,"... it's a very generic-sounding distortion and is not really useful for much beyond a lead boost into an already distorted amp.  The same is true of many of the pedals from this era, including the (gasp!) Tube Screamer.  The Tube Screamer is a great lead boost into an already distorted amp, but not too many people will tell you that it's a great stand-alone distortion because it's not.  Same goes for the Boss DS-1.  Now, here's where things get interesting:  There are PLENTY of modifications that can be done to this pedal by Keely, Monte Allums, and others, that turn this otherwise mediocre pedal into a raging beast, dripping with tone and gain that sings for weeks.  For the cost of this pedal, and the $30 or so that it costs to get the materials for a mod, are well worth it.  Mine is modified with the Monte Allums Tri-Gain Rectifier modification and it's absolutely killer.  I use it as a lead boost, but by itself it's a nice overdriven tone that you'll find plenty of use for.  If you want a basic, solid, well-built distortion pedal, this is it - but by itself the Boss DS-1 is really nothing special.  But as a platform for great-sounding mods, you can't go wrong.",3
0,"It's a good OD, but I thought it would be higher output, and more articulate. Just personal preference. I mean, the Pedal is a Classic for a reason.",3
0,"Bought it for using Danelectro mini amp, so I don't need to worry about the battery.  It works perfectly as an adaptor should be, & you won't have any surprise by its performance. :)  two stars out because of comparing the price with the mini amp (less than $20), the adaptor is pricy ($8.50), but it still saves me $$ for the long runs.",3
0,"The problem with this pedal is that you have to step all the way down on it to turn it on, which produces a sound.  The Morley pedals have a separate on/off switch, so you can turn them on or off at a given position.  The difference is the sound is just a bit more professional if the wah isn't always turning on or off at the top of the wah frequency.  Suppose you wanted to set the wah in the middle, and just leave it there.  You can't really do that with this pedal.  It is a bit smaller than a morley wah, but in my experience, the sound is equivalent on the base models.",3
0,"If you want your guitar to sound like Eddie Van Halen, Joe Satriani and other guitarists studio album guitar sound, then get a BOSS GT-10 (guitar multi effects processor) and install BOSS GT-10 Patches by James Limborg. Search Google for BOSS GT-10 Patches by James Limborg.",2
0,"Oh its a crybaby, ""I have a crybaby wah"", ""You suck because you don't own a crybaby""...I'm tired of hearing these statements from guitarists that are so fresh they couldn't even tell you how many strings their instrument has!  This wah pedal just doesn't cut it.  Maybe at one time, but not today, it hasn't been up to par in a LONG time.  As a young player I insisted on having a wah pedal.  My mom bought me this one.  I thought it was awesome until I learned better.  It took me about a week to learn how to turn it on and when I finally did I thought I broke it!The eq on this pedal isn't good, there is no smooth transition from heel to toe.  There is a big drop in the freq. that kills the effect.  You have to pump your foot really fast to avoid having that drop.  You have to pretty much push it toe foward and then literally stomp on it to turn it on and then follow the same steps to turn it off.  Very inconvenient for someone who is trying to rapidly move between effects on a board.  I can't say its just a complete piece of junk, it does give you a wah effect, it is a classic pedal but THERE IS BETTER out now so why are we still stuck in the stone age with this thing?  I even had someone mod mine and while it gave it a little more headroom and fixed the dropping issue, I still had to slam on it to turn it on/off and it still sounded like a cheap wah.My suggestion?  The Mark Tremonti wah is great!  Kicks this things end when it comes to range and simplicity to use!  It may cost more, but you will probably end up hating the crybaby and getting one anyway, so just go with the Tremonti Power Wah to begin with.  What I use for wah is the Digitech RP250 processor.  You may say that this is a cheap processor, and it is, but I've been using it for years and I haven't seen anyone that can tell the price of it based on the sound quality and thats what matters.  Why I suggest it for wah is you can control the sensitivity, how hard you have to press your toe down to turn it on (I have mine set fairly light) and you can totally shape your tone right there on the board very easily.  You even have presets (crybaby being one of them)  You can get an entire processor full of effects AND an awesome wah for a little bit more.If you want a cheap child's gimic-type toy, this is for you.  Want to get serious about a wah?  Spit on every crybaby you see and go elsewhere.",3
0,"It sounds good but it adds soooo much noise to my pedal board. If that's not a problem, definitely worth the price.",3
0,"I acknowledge that this is a minority opinion - perhaps I just had bad luck with my unit and the attempts to repair it afterwards.  But while I loved the sound and functionality of this wah-wah pedal, it would literally last me a few months at a time before it became unusable.  I suspected that the potentiameter was shot, so I had that replaced, but the same problems reoccurred.  Like a horrible static noise as soon as started using it.Good product, but hopefully they make them more durable than the particular unit I had.",3
0,"Although this capo is marked as correct for a mandolin, it only works correctly above the 3rd or 4th fret on my mandolin. Any lower on the fretboard than that and this capo doesn't have enough pressure to work on the 1st or 2nd fret position on my mandolin, even though my mandolin has a fairly low action.I have a number of Kyser capos and very much like the style (I own at least six Kyser guitar capos and use them on all of my guitars from a Taylor 12-String to a Fender American Strat without any problems), but in this case the banjo capo didn't work for what I need. Perhaps the capo sent to me was defective, although I have enough decades of experience with stringed instruments to know that it didn't seem broken, just not up to the task.From feedback others have sent to me it is possible this capo may work for you if you wish to take a chance on it, but I know that I don't have time while on stage to take 20 seconds to set a fussy capo 'just right' to make sure it is holding just right and then hope it doesn't start to buzz on me in the middle of a song. I went with another brand after talking to some bluegrass guys who had better luck with another style of mandolin capo.",3
0,These came stock on my Jackson Kelly KEXMG. All the other guitars I own have Schaller buttons on them and I have one main strap I use for all of the guitars. I figured since the guitar came with them I would try them out. Not twenty min later I was removing them and putting Schaller buttons in their place. Here the 3 major reasons I did not like them over Schaller:1- Bulky. They stick out too far and on any guitar with a strap button on the back it jabs you in the stomach or below!2- Problems engaging. I would push them into the receiver and they pop back out. It wasn't until I forced them in while pushing the button that they went in a stayed in. Schallers click in and you know they are ready to go.3- Cheap. They just feel cheap. Thin metal is used in comparison to the Schallers; which have a very heavy and solid feel to them.For a few bucks more I'll stick with Schaller's. I have been using them for 10+ years and have never seen one fail.,1
0,"I was very disappointed in both the quality and engineering of this product. A work-around for the main issue follows the review. The flaws that bother me in order of significance are:1) Quality: Very weak soft-metal screws. Using minimal force and a well aligned driver there was some damage to the screw-heads on all 4 that I worked with. 2 of them rounded out so much that I was afraid they would be hard to remove later, causing me to run to the hardware store for higher quality replacement screws.2) Engineering : The instructions recommend, and the screws (the ones that come with the straplocks) are designed for a #2 Phillips screwdriver. However, a standard #2 driver is too big to fit into the strap-buttons. So you are likely to have to choose between grinding down a screwdriver to fit, or using a #1 which will increase the impact of the first problem above since it is the wrong tool for the job.3) Engineering : The point of connection for the strap is 5/8th of an inch out from the guitar. The strap button has a radius about 3/16ths of an inch. Therefore any lateral stress (i.e. weight of the guitar) is magnified by more than 3x due to leverage pulling outward on the screw. A 9 pound guitar would be applying a constant 27 to 30 pounds of force on the screw and the wood around it (half that when the weight is distributed evenly on two strap buttons of course). Get a little too active on stage and the level of force could go way higher.Realistically, if the screws weren't total crap, this might have been a 3 or 4 star review. Once you deal with the fact that a normal screwdriver won't fit and get the things properly installed, it would probably work out for most people. So if you are stuck with a set, here's what I recommend:Go to a hardware store and buy #6 x 1"" oval-head stainless steel replacement screws. Note that these won't fit properly, but they are the closest match and can be modified. (They are 21 cents each at my local stores, and would have cost Dunlop maybe 10 cents more in bulk than what they paid for the crap screws that come with this.)Put the screw into an electric drill (pointy end in) so the screw head is rotating smoothly when you operate the drill. Run the drill while using a file or a belt sander to take a fraction of the diameter off the screw head. It doesn't need much. I used a belt sander and it took about 20 seconds each. While you are at it, file down a cheap #2 screwdriver so it will fit into the strap button.Install with the new screws as normal, and recommend that your friends try a different brand!",2
0,"The very first thing I noticed about the design is how far from the guitar's surface the strap is actually connected.  What this tells me is there is considerable added stress to the screw and the wood surrounding it because of the added leverage to the guitar's weight.  The &#34;fulcrum&#34; is the surface of the wood, if this makes sense, and I can't help but wonder if it could eventually (eventually over much time and use) cause cracks or splits as a result.I found someone selling only the Dunlop strap buttons, which is a great idea for someone with 2 main straps and several guitars, and was about to order them when I found Planet Waves Elliptical End Pins.  I think this is the best idea yet for keeping a guitar on a strap, unless you're going to be spinning the guitar around your shoulders, and no additional stress on the guitar's body.  I've ordered a set.",3
0,"Sorry, I don't like these as they're just too big. They stand out too much. They do work and they're effective but they are too pronounced. There are many good alternatives; strap gaskets, strap locks, undoing the pin and putting it straight into the guitar strap.  Again, they work, but they're not aesthetic nor elegant. I also got a gold set for my bass and now it looks like I should be wearing big purple platforms when I play. Not cool.",2
0,"I agree with another reviewer that the included screws strip much too easy.  I purchased a set of these strap locks years ago, and I dont recall having this issue, so I'm thinking that Dunlop changed the screws at some point.  I was luckily able to get the screws in with some muscle, and the locks are secure.  However, due to this issue, I'm considering other alternatives for another guitar of mine that could use strap locks.  I hope Dunlop fixes this issue soon.",3
0,"Work very well, nice low profile, easy push button on and off but, it is true, not good for thick straps. And the Gold Tone ones discolor easy with minimal use.",3
0,"The Dunlop strap locks work pretty well, but the standard hole cut in a standard leather strap is not big enough to accomidate the locking buttons.  The strap has to be modified by increasing the size of the holes.  This for all intents and purposes means that you will not be able to use that strap with standard strap buttons ever again.They do work as advertised and they are easy to take on and off for strap adjustment when required.",3
0,"Great guitar companies don't always make (or sell under their aegis) the best strings. I love my Teles but I can't stand Fender strings. Likewise, I love my Martin ukulele, but trying these strings for the second time, I had the same conclusion as I did the first; Aquila's are far better. Aquila's have a more organic feel and a fuller, richer sound. The Martins begin to hold their tune sooner - Aquila's take a couple of days or more - but the sound is thinner and the feel isn't nearly as friendly. The approximately 3 dollar price difference is not, for me, worth the lesser satisfaction, even on my least expensive ukes. Considering how seldom one usually changes uke strings, the higher-priced Aquila's still seem to be worth the extra couple of bucks. Use the Martin's (or any cheaper string) when you are working on your uke, put the stress of repeatedly de-tuning and re-tuning on them. Then switch to Aquila's for playing. Some may like the Martins but few won't love the Aquila's.",3
0,"the thing is that they don't seem to stay! i mean, you can change the position of the pop filter by varying the shape of the metallic &#34;arm&#34;, but it doesn't stay where you put it. and also the material of the filter is of kinda poor quality. but, i think if you're lucky if just might get the job done.",2
