Class,Ratings,Reviews
1,4,Tuning a guitar is difficult for a novice.  This device just clips to the guitar and tuning is easy.  Why you would almost think I know what I am doing.
1,5,This was a great purchase.  My son found exactly what he needed and at a price he could afford.  He would definitely purchase from here again.
1,5,"Who doesn't love these tuners?  Easy to use, easy to read, and has options that I don't even use. Highly recommend this."
1,5,"I've tried the Fishman FT-1 and the Tune Tech ttm-201.  I like this one the best.It seems as accurate as my other tuners.  Like all clip on tuners there are ""sweet spots"" on the head that work better than others.  Oddly the Snark likes different spots from the Fishman or Tune Tech.  I tested the Snark against them, my Korg tuner and my Android App tuner.  The Snark was fine.The biggest plus I see on the Snark and the reason its my new ""go to"" tuner on the guitar is the large bright screen.  My vision isn't so great in dim light and the clarity and brightness is wonderful.  I don't have to guess or squint.It has a metronome which can be fun.  I personally don't use it because these hearing aid batteries are a bother so I don't want to waste the energy on a metronome and not have the tuning function work when I really need it.The only minus that I can possibly see is that the clamp is pretty fierce.  I don't have a custom made Brazilian rosewood guitar where the headstock could be marked by this thing.  If you do have something expensive check this clip out first to be sure you'll trust it.  If not then the Fishman is more your speed."
1,4,"Tuner works well with acoustic but not so great when your electric is not plugged in. Seem like it needs more resonant vibration to register the sound. Sometimes you just need to whack the tuner a bit, and it's okay. I also have the NS Micro, and that's a better tuner."
1,5,"I bought this because I got tired of looking up by-ear tuners online. It's so darn simple to use. Just clip it on, tap the big button, and play a note. The chromatic tuner is extremely easy to read and incredibly simple, and it automatically recognizes which notes are being played and adjusts to the note as you tune up and down. It was also very cheap compared to the other box tuners. Overall this is an amazing product and I don't see a reason why I would ever want another tuner again. I've had this tuner for about a month now and it hasn't failed me yet, though sometimes it can be a little stubborn and slow with determining when a note is being played and it does have a habit of being right on the mark one time, then if you pluck the string again, it will show it's off tune by a quarter-step or so. Just make sure you tune all the strings twice, and you won't regret buying this tuner."
1,5,"works right out of the box.  Easy to read, easy to use......arrived very fast inexcellent shape....just had to put the supplied battery into it"
1,5,"I have several different tunes, but the Snark is hands down the fastest and most sensitive. Has no trouble whatever picking up the low e-string on my Seagull acoustic, which flummoxes my Intelli 600. Having the tuner respond this quickly makes tuning go faster and easier. The only down side, and this is a matter of taste, is the garish color. You shouldn't leave these things on the headstock anyway as they can leave a mark, so the hideous color just encourages me to do the deed and put it away, which may be just as well."
1,5,i got this as a gift for the my guitar mentor and lead guitar player in my band.  i have a tuner built in to my amp i use but he has always tuned by ear which is hard to do on stage or even at rehearsal.  the display is bright and easy to see and he loves it.
1,5,"A great little tuner. Very accurate, easy to use and the batteries last the better part of a year. I bought 3 or 4 of these and I put in my gig bags or cases. At these prices you can afford to clip the on to all your instruments."
1,5,These Snark tuners are ruggedly designed and really do the trick. I use the mic instead of the vibration setting though. That's my preference. But I would use no other tuner on stage. I have one on each of my guitars including my acoustic guitars. I have dozens of guitars!
1,5,"Very useful for acoustic guitars, electric and bass. If you don't have a pedal board with a tuner, this is invaluable to quickly tune up. Small form factor and can be thrown into a guitar case. Good accuracy compared to my Korg pitchblack"
0,1,"Like the other one star reviewers -- my problem is that the head broke off. I tried to glue it back on, but it just fell apart even worse when I tried to do that. If you buy this, you really need to baby it! My advice is look for a more sturdy model!"
1,5,"Okay.. I used to tune my guitar online.... However, adding a $10 for this item is worth it... It is so accurate and works great so far... I saw that some people complaint that the tuner comes without a battery, but mine come with one... Probably it is because I bought it from amazon &lt; not from some sort of seller in amazon> ... Moreover, there's also a warranty for this item... For those who want to start playing a guitar like me, I strongly recommend to get this tuner!!... You won't regret!!..Owyea.."
1,5,"Awesome little tuner, very accurate and I can store it almost anywhere. much cheaper online too, for the price its a steal."
1,5,"this tuner is awsome,it tunes very acurately and i would recommend it to any guitarist or who ever needs a tunner."
1,5,I wasn't expecting much as the price was very reasonable for a good tuner. I have to say it is one good (funny looking)clip on tuner. Many useful functions. I especially like the fact you can check intonation without changing anything. Like the capo and metronome feature. I just really like this little guy. Good job Snark.
1,5,I haven't had to change the battery on this bad boy in over two years since I've had it!  It also is bright and is very accurate.  If looking for an inexpensive tuner look no further!
1,5,"The tabs broke off right out of the package (the other reviews made me aware this may happen). An easy fix with some Super Glue and for the price, who cares if I have to fix it. It is 100% accurate and very easy to use. Other than the tabs breaking it is a great little tuner for the money. Highly Recommend!!"
1,5,I use this tuner to tune up my violin.  Other tuners I've tried using the vibration setting had difficulty feeling the &#34;E&#34; string vibrations thus making it hard to tune.  This tuner does an excellent job feeling and showing all 4 strings.
1,5,"This little beast works great for guitars or basses in loud or soft environments.  Just clip it to your headstock and tune up in under 30 seconds.  I've even used it on the bell of my trumpet to tune up to pitch.Pros:- Dead-on accurate.  You can easily set your intonation with this little monster.- Works great in extremely loud environments.- Clips on tightly.  If you don't jump around like an orangutan on stage, you could probably have the Snark ride your headstock through the whole show.- You don't have to plug into it.- Extremely responsive.- Enough display detail for you to know when you're getting close to in tune -- not just 3 indicators like some tuners (flat, dead-on, sharp).- Very inexpensive.Cons:- A little twitchy on the open low B string on bass. I use the 12th fret harmonics (first partial) to tune, however, since it's a purer tone that seems to resonate in the headstock more, so this has never really been a problem for me.Inexpensive enough to keep one in every gig bag or case -- for every instrument you own."
1,5,"Works great, seems durable, shipped fast.  Can't think of a single negative thing about this product.  If you need a tuner, this ones a good one."
1,4,"I bought this to replace the inexpensive Musedo T-50 tuner that came bundled with my Kala KA-S ukulele. The Snark SN-2 is much more accurate, but its LCD display is not very bright, and has a narrow field of view. (Yes, I did try a fresh battery, but it made no difference.) I wish it were brighter and easier to see. Still, it's a very good tuner overall."
1,4,"The tuner operation works pretty well and is consistent on these snarks. It may be my imagination, but I think the recent ones work a little differently than previous generations. They seem to register differently than older ones and sometimes give you a tuning that is just a wee bit sharp.I have used them to tune many different kinds of string instruments, from autoharps to mandolins to guitars. It works with all of them.Tuning by vibration is very useful in a loud room, but it is not always perfect. If another band is playing loudly, the sound vibrations from the speakers will affect your ability to tune. So you have to wait until the band is between songs to get an accurate reading.To my taste, the display on these SN-2's is the best of all the Snarks. I like the extra bars and the smoothness of the way the display zeroes in to the perfect pitch. It looks nice and responds well to your tuning peg changes.Finally, do not drop these. The head is purposely flexible and can rotate very easily. It has a ball joint construction. That is good, and seems to hold up to use. The plastic socket, however, on the back of the tuning head does not respond well to hitting the floor, even a carpeted floor. I do not treat my tuners rough, but it is easy to drop them. When you do, 6 out of 10 times, the plastic socket will break. I have 3 tuners whose heads are separate from the base. They still tune, but I have to hold them against the guitar. They do not clip on any more, so it is inconvenient."
1,5,"I thought this tuner was going to be an oversized cheap piece of junk. Because well these days you usually get even a little less than what you pay for. But this tuner destroyed those expectations. Its a small, ""smart"" tuner. So many functions and just a great design. Its really cool that I dont have to go hunt down a tuner that could be lost in my room somewhere. This attached to basically any guitar, or almost any object for that matter. The only thing negative I have to say is, im not so sure you can plug a cable into it. Which you would expect with ALL the other stuff it comes with. Otherwise, its pretty great."
1,5,"This is just the tuner I was looking for! It works on vibration or mic, so it's very versatile. It works on my acoustic, bass, electric, and my mother's voice. Haven't tried the trumpet yet... Intuitive and the back-lit screen is so easy to see!"
1,5,This tuner is very accurate.  It is well made and stays on without falling off.  I tested it with other tuners and it's right on. Easy to see when positioned correctly.
0,3,"It is bright, easy to attach to my guitar but there are some problems with it being so ""fragile"" at the base.  The battery was a bit tricky to insert since it is so close to the base. I like the swivel but it is delicate since it is plastic. Be careful not to twist it around quickly or it might snap off. It is very sensitive and has been more accurate than a Planet Waves tuner I currently own. Would I buy it again? I don't know. Going to see if it durable and if it continues to be accurate. Looks ok on your guitar and it is not in the way."
1,5,"This is a very inexpensive and very accurate tuner.  The Vibration Mode is really good. I am a new guitar player, and this item has helped me greatly in quickly tuning my guitar."
0,3,"I bought this tuner mainly for my acoustic guitar; I have a Sabine tuner with a mini-mike but unplugging the tuner from my amp, having the room completely quiet and the tuner in a good position is a couple of extra steps I'd rather not go through.  This tuner is compact and works well; I clip it onto whatever guitar I pick up for a quick tune (acoustic OR electric), push the power button, and off I go.  I haven't fooled with the other features (Metronome? Detuning?), so I can't comment about them.  An added comment: I broke off one of the flimsy little tabs that holds onto the ball joint from it being overextended.  My fault, but it shouldn't have broken so easily.  I'm sure they could make the plastic tabs just a wee bit stronger/thicker, or make it so it pops out of the joint when overextended instead of breaking completely."
1,5,"This has got to be the best little tuner I've ever owned, and the cheapest too.  I have a $100 tuner that works nicely, but this one will handle any instrument you clip it to.  The SN-2 has the vibration pickup abitity that the SN-1 doesn't.  So I use it on all my instruments except my sitar as there's no place to clip it.  I highly recommend it."
1,5,This is a great and inexpensive tuner that is easy to use. It's easy to setup out of the box and can tune via vibration or microphone. It's easy to figure out if the strings are in pitch or not. The only downside is that it feels a bit flimsy sometimes.
0,3,I've owned four of these over the past two years and after 6 months of light use (4-5 times per week) the first two malfunctioned. What I mean is the screen became so faint you could hardly see it and putting in a new battery didn't help.  My current one I bought in July and so far everything is holding up. Knock on wood!  They are cheap .....so I guess you could look at them as a disposable tuner but you'd better have a back up cuz they break when you least expect it.
1,4,"I bought this tuner primarily for my wife who plays harp (I play guitar).  She has been using my guitar tuner which works okay but cumbersome.  I was hoping this tuner would clip on the top of the harp to make it easier for her.Unfortunately, it doesn't fit on top of our harp.  The tuner is rather small which is nice for transporting but the clip will not open wide enough for the top of the harp.  It does, however, clip into the sound hole okay.It tunes the harp fairly well.  I only had problems with the top 3-4 strings which I had to pluck a bit harder for the tuner to pick up.I also tried it on my acoustic guitar and it did the job perfectly.  (Clipped it to the top of the headstock)Tracking is very, very good for a tuner at this price.  I was able to play the strings, tune them, and watch the meter follow the note.  Display is very easy to read and lights up nicely.  I was tuning in a dim-lit room and was able to read it perfectly.  I'm sure it would be great on a dark stage.The only other drawback is that the display needs to be positioned within a certain range.  Otherwise it gets a big hard to read.  But positioning it is very simple since it swivels easily.4 out 5 only because of size (not fitting on harp as I hoped) and display legibility depending on angle (I had to reposition it maybe 2 times in order to tune the whole harp)."
1,5,"Easy to see, Easy to use, Easy to get used to.  The display is bright and very intuitive to the way we visualize sound, that is what makes it so useful.  You can't beat the price for such a great little tuner.  Amazon as usual makes ordering, paying and receiving a simple a and pleasant experience.  I will be buying one for every guitar case I own."
1,5,I bought this for my mandolin and was pleasantly surprised how awesome it a find this was. Easy to use and handy for ANY string instruments.Only thing i regret is not getting one sooner.
1,5,"There are plenty of reviews here that explain this unit and it works well. Before this I had been using tuner pro android app that also works well but I don't have it all the time.There is one big negative, it is absolutely useless outside in the sun or even shade. Can't even tell if it is on or off. Outside of that I am glad I picked the ""red"" version instead of the others."
1,4,"The tuner works well in both mic and vibration mode. The screen could be a little brighter. Otherwise, no complaints."
1,5,"I'm so glad I was introduced to this via my guitar coach years ago. It's cheap, yet works better than most tuners that require a plug in that end up costing around slightly more. It's been awhile since I've had it, and still have no complaints or issues with it. I wholeheartedly recommend this!"
1,5,this tuner is great best buy works so well I highly recommend this Tuner can't buy a better tuner for less money
0,3,"I've been using the snark for a year or so now, and I always have the suspicion that it's just telling me what I want to hear - that my guitar is in tune, when in fact, it's not.  The other day I had to go from standard tuning to DADGAD, and had about 1 minute to do so (plenty of time) but after the tuner said it was in tune, it was time to start playing and it was, well... noticeably out of tune.  After checking each string multiple times!  Very frustrating.  I guess you just have to go with a pedal if you want accuracy.  If you want something that usually puts you in the ballpark but may betray you when it really counts, then go with the Snark.  It's better than other clip-ons I've used, but still not cutting it in my opinion.  I play a Taylor 414ce.  A plus side is that you can buy a five-pack of batteries on amazon for 2 bucks - shipping and all.  You will need them sooner than you think :)"
1,5,"The traditional black box tuners are boring and slow.  This thing is super responsive to string selection just hopping on the new tone immediately, exact, easy to use, fun to look at.  There is a linkage arm that is not shown in the photo that makes it even better."
1,5,"I'll just say, newbie to ukulele, no idea how to tune it, instructions online say GCEA, I put this on the head, plucked each string, tuned the machine head until it said dead on, and that was it.  I keep this clipped to my ukulele standInstrument Stand for Violin, Ukulele and Other Small Instruments(see my reviews of it, it's so so, the stand), and just turn it on and tune the uke before I take it off the stand.  ONly time will tell how these little nickel watch battery style battery lasts, I find them a bear to buy, but time will tell.  Anyhow, I concur with the reviews on here, glad I listened to them, and for any brand new ukulele players out there, this is the one to get.  C ya"
1,4,"If you play a string instrument, this one is a must.  I have several and a Snark for each one.  Unfortunately, in the span of about two years, they've gone from about $6 (in bulk) to about double that.  It's a good product, but shop around wisely for the best price, and hint:  read the fine print, if they include a battery, you'll pay lots more.  I even found the batteries online about half the price than in a drug store. Five stars for performance, take away one for greed. And another comment in 2013.  I decided to buy 4 more, but went to another source which only charged ONE shipping price, not 4."
1,4,"I was shocked when I got this tuner and witnessed how accurate it was. For the sake of letting you know its compatibility, I have used this to effectively tune an acoustic guitar, an electric guitar, a mandolin, and a 4-string bass. That's a huge range for any tuner! I've had older versions of clip-on tuners and this one just works faster and better. Recommended for any application in which you may need a variety of ranges. The ones made for guitar have limited range, but are cheaper, but I would imagine they're just as accurate.I'm not a huge fan of the red color, it is really bulky and noticeable on all the instruments I've had, but I'm happy with the trade-off. I just wish there was a smaller, more discrete option or something in black or a more muted color."
1,5,"I've used electronic tuners for a long time.  Most of them that I've owned you have to plug into your instrument.  That means they don't tune with a microphone but only with an electronic signal directly from the instrument.  I bought a Korg GA-30 that was about the size of a credit card with a built in microphone to tune acoustic instruments about 8 or 10 years ago.  I used that Korg until getting the Snark.  The Korg was durable and fairly accurate but the LCD display wasn't lit making it tough to read in low light and the needle seemed to jump around sometimes for no good reason.  Still for the money the Korg was a good deal on a tuner with a microphone in it's day.Enter the Snark SN-2.  This Snark will tune about anything.  It will tune either by vibration clipped onto the headstock of a stringed instrument or don't clip it to the instrument and use the built in microphone.  Clip it to a music stand, clip it to anything and it still works when you use the built in microphone for a guitar, upright bass, violin, saxophone, trumpet or even a tympani.  Use the vibration setting for tuning an acoustic or electric guitar or ukulele or mandolin or banjo without interference from other sound sources.  It tunes about anything no matter the notes or key you want to tune your instrument to.  It senses the entire scale.The Snark SN-2 has a well lit, clean and bright display that is easy to read in bright light or total darkness.  The display pivots to any angle.  It is very light so it adds very little weight to the headstock.  The battery seems to last a fairly long time, longer than the 9-Volt battery in my tuner pedal that burns through pricey 9 volt Duracells at the rate of about 1 per month.Long term durability seems to be a question to me due the small pivot on all the Snark clip-on tuners.  I've only been using mine for about 2 months now and while the pivot part seems sort of fragile I've had no issues at all yet and it still works good.  I don't think you should drop it very often.  So far I've dropped mine once with no damage.  Even if it did break, 10 Snarks are cheaper than the rack tuner I have and the Snark is just as accurate.While long term durability is undecided I can't complain at all about the versatility, accuracy, high visibility display or the low cost.  I really like mine and use it everyday on an electric bass or a ukulele or a guitar.  It really gets around and tunes them all.  The color is sort of a metallic red, almost Candy Apple Red.  I ordered spare batteries but haven't needed to change one yet.I'd buy it again and suggest one as a gift for any musician that doesn't have one.  I'm sure they'll use it often.  This tuner is a real good buy at a good price.  Spare CR2032 Lithium batteries are less expensive on Amazon, so I suggest ordering several with your tuner so you'll be prepared.I've never used the metronome feature other than to check it out.  It flashed a locked tempo but I really don't need that feature."
1,5,"I purchased this to use with my old Yamaha acoustic guitar and my ukelele.  It works great on both, very accurate and easy to use.  The swiveling head works very nicely and makes it easy to see at any angle.  It appears sturdy, and the clamp appears soft enough not to scratch your instrument. I haven't used other tuners of this type, but this one works great and seems like a great value for the price."
1,5,"I like this tuner as much as my SN8. It's accurate, fast reading, and has the added feature of  acoustic mode if you need it,"
1,5,"I received my tuner yesterday very fast shipping,it looks great,  the price is right, but most of all it works wonderful, very easy to use and small enough to carry in my guitar case."
1,5,"I bought it to tune my guitars and my banjo, it works good on all of them and is very accurate. I also used it to tune my uncle's mandolin for him because he couldn't find his tuner. Other than that theres not much else to say :P, I haven't used the metronome so I can't comment on that."
1,5,"So easy to use.  Just clip it on and ta-da!  The screen is very easy to see and tuning my banjo is a breeze with it.  Unfortunately, my dog thought it was a delicious toy and mauled it beyond recognition so I need to buy another one.  If your dog loves toys, keep this out of reach."
1,5,"I had used one of these at a guitar shop once while shopping for a new acoustic/electric. I was so used to the big klunky ones that you balance on your leg while trying to tune, I had no idea these even existed. After using it to tune 10 different prospects in a row, I decided to buy one on the spot (the tuner that is, it took another hour to decide on a guitar).It is very easy to use, the tuning via vibration is spectacular in a noisy environment. I like leaving it on the guitar while practicing to just make minor adjustments if there's a drop-D song, or just tweak something that goes out of tune.Does exactly what it is supposed to do, and it stays out of the way."
